lsn,eventtime(utc+8),event,detail,file/directory name,full path,creationtime,modifiedtime,mftmodifiedtime,accessedtime,redo,target vcn,cluster index,is_timestomped,is_suspicious_execution
10589174873,,,,tw-2514-c80-9c12d.tmp,\Windows\System32\config\systemprofile\AppData\Local\tw-2514-c80-9c12d.tmp,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,Update Resident Value,0x31A4,2,0,0
10589174905,,Changing FileAttribute,NotContentIndexed/ RandomAccess -> NotContentIndexed,tw-2514-c80-9c12f.tmp,\Windows\System32\config\systemprofile\AppData\Local\tw-2514-c80-9c12f.tmp,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,Update Resident Value,0x31A4,4,0,0
10589174943,,,,tw-2514-c80-9c151.tmp,\Windows\System32\config\systemprofile\AppData\Local\tw-2514-c80-9c151.tmp,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,Update Resident Value,0x31A4,6,0,0
10589174975,,,,tw-2514-c80-9c153.tmp,\Windows\System32\config\systemprofile\AppData\Local\tw-2514-c80-9c153.tmp,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,12/28/23 9:31:44,Update Resident Value,0x31A5,0,0,0
10589175007,,,,FileCoAuth-2023-12-28.0402.4800.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.0402.4800.1.odl,12/28/23 12:02:25,12/28/23 12:02:32,12/28/23 12:02:32,12/28/23 12:22:56,Update Resident Value,0x31A7,2,0,0
10589175041,,,,FileCoAuth-2023-12-28.0412.8860.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.0412.8860.1.odl,12/28/23 12:12:25,12/28/23 12:12:32,12/28/23 12:12:32,12/28/23 12:22:56,Update Resident Value,0x31AB,4,0,0
10589175075,,,,FileCoAuth-2023-12-28.0432.4072.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.0432.4072.1.odl,12/28/23 12:32:25,12/28/23 12:32:32,12/28/23 12:32:32,12/28/23 13:22:57,Update Resident Value,0x31AB,6,0,0
10589175109,,,,FileCoAuth-2023-12-28.0532.6820.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.0532.6820.1.odl,12/28/23 13:32:25,12/28/23 13:32:32,12/28/23 13:32:32,12/28/23 14:22:58,Update Resident Value,0x31AD,0,0,0
10589175143,,,,FileCoAuth-2023-12-28.1012.6920.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.1012.6920.1.odl,12/28/23 18:12:25,12/28/23 18:12:32,12/28/23 18:12:32,12/28/23 18:23:02,Update Resident Value,0x31B1,2,0,0
10589175211,,,,FileCoAuth-2023-12-28.0602.8344.1.odl,\Users\blueangel\AppData\Local\Microsoft\OneDrive\logs\Common\FileCoAuth-2023-12-28.0602.8344.1.odl,12/28/23 14:02:25,12/28/23 14:02:32,12/28/23 14:02:32,12/28/23 14:22:58,Update Resident Value,0x31C4,6,0,0
