filename,full_path,lf_lsn,usn_usn,confidence_pct,usn_event_time,lf_event,lf_detail,usn_event_info,zero_in_nanoseconds,zero_in_nanoseconds_lf,time_reversal_event,basic_info_changed,cross_artifact_validation_score,cross_artifact_detected,has_logfile_evidence,has_usnjrnl_evidence,lf_creation_time,lf_modified_time,lf_accessed_time,lf_mft_modified_time,timestamp_changed_to_past,using_another_timestamp,modified_creationtime,modified_modifiedtime,modified_accessedtime,zero_nano_time_reversal,path_depth,filename_length,is_executable,is_document,is_archive,is_image
c22a9712-4d22-4dc4-8603-f35750992a3c.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\c22a9712-4d22-4dc4-8603-f35750992a3c.tmp,1561641060.0,249741096.0,99.99473756492117,4/6/18 20:49,Time Reversal Event,CreationTime : 2018-04-06 20:49:35 -> 2018-03-27 17:32:51(same as Preferences~RF2a180ce2.TMP),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
c60254ff-160d-482d-b91b-c44a10d021e5.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\c60254ff-160d-482d-b91b-c44a10d021e5.tmp,1550938529.0,248933536.0,99.99473756492117,4/6/18 20:30,Time Reversal Event,CreationTime : 2018-04-06 20:30:30 -> 2018-03-27 17:33:15(same as Network Persistent State~RF319a3313.TMP),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
d3653baf-5f1f-4111-be3a-b1056269ae92.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\d3653baf-5f1f-4111-be3a-b1056269ae92.tmp,1551072289.0,248960240.0,99.99473756492117,4/6/18 20:32,Time Reversal Event,CreationTime : 2018-04-06 20:32:54 -> 2018-03-27 17:33:15(same as Network Persistent State~RF319a3313.TMP/ Network Persistent State),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
c71c9453-f2ba-4c59-bc49-f769af2a4baa.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\c71c9453-f2ba-4c59-bc49-f769af2a4baa.tmp,1549401233.0,248233584.0,99.99473756492117,4/6/18 16:32,Time Reversal Event,CreationTime : 2018-04-06 16:32:45 -> 2018-03-27 17:33:13(same as TransportSecurity),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
c8b05115-0844-433f-9d27-d5bad54a48c7.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\c8b05115-0844-433f-9d27-d5bad54a48c7.tmp,1544973017.0,247166096.0,99.99473756492117,4/6/18 15:05,Time Reversal Event,CreationTime : 2018-04-06 15:05:41 -> 2018-03-27 17:32:51(same as Preferences/ Preferences~RF2a180ce2.TMP),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
cad5a74e-bb07-45df-b986-99ba888480ad.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\cad5a74e-bb07-45df-b986-99ba888480ad.tmp,1550621106.0,248843744.0,99.99473756492117,4/6/18 20:26,Time Reversal Event,CreationTime : 2018-04-06 20:26:32 -> 2018-03-27 17:33:02,Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
cb6e4abd-796c-4341-8136-ce80685805b7.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\cb6e4abd-796c-4341-8136-ce80685805b7.tmp,1548866148.0,248054512.0,99.99473756492117,4/6/18 16:26,Time Reversal Event,CreationTime : 2018-04-06 16:26:30 -> 2018-03-27 17:33:13(same as TransportSecurity),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
cb7ccc49-f428-465b-b996-0f8890b3185c.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\cb7ccc49-f428-465b-b996-0f8890b3185c.tmp,1545901812.0,247348496.0,99.99473756492117,4/6/18 15:14,Time Reversal Event,CreationTime : 2018-04-06 15:14:58 -> 2018-03-27 17:32:51(same as Preferences/ Preferences~RF2a180ce2.TMP),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
cf03a9af-453f-46d9-99a2-4d58d4415bee.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\cf03a9af-453f-46d9-99a2-4d58d4415bee.tmp,1547463145.0,247681424.0,99.99473756492117,4/6/18 15:34,Time Reversal Event,CreationTime : 2018-04-06 15:34:26 -> 2018-03-27 17:33:15(same as Network Persistent State~RF319a3313.TMP/ Network Persistent State),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
d0b319cf-8883-4a31-b47a-ee8a6b80132c.tmp,\Users\jcloudy\AppData\Local\Google\Chrome\User Data\Default\d0b319cf-8883-4a31-b47a-ee8a6b80132c.tmp,1547203523.0,247642792.0,99.99473756492117,4/6/18 15:29,Time Reversal Event,CreationTime : 2018-04-06 15:29:10 -> 2018-03-27 17:33:15(same as Network Persistent State~RF319a3313.TMP/ Network Persistent State),Basic_Info_Changed / File_Renamed_Old / Access_Right_Changed,False,False,True,True,1.0,True,True,True,,,,,False,False,True,False,False,False,9,40,False,False,False,False
