LSN,EventTime(UTC+8),Event,Detail,File/Directory Name,Full Path,CreationTime,ModifiedTime,MFTModifiedTime,AccessedTime,Redo,Target VCN,Cluster Index,is_timestomped,is_suspicious_execution,is_suspicious,label_source
10586861327,12/31/23 0:36:36,,,iscsicpl.dll,\Windows\System32\iscsicpl.dll,12/7/19 17:09:41,12/7/19 17:09:41,12/25/23 16:25:41,12/31/23 0:36:36,Update Resident Value,0x2F05,2,0,0,0,
10586861386,12/31/23 0:36:36,,,iscsicpl.dll.mui,\Program Files\WindowsApps\Microsoft.LanguageExperiencePackko-KR_19041.69.239.0_neutral__8wekyb3d8bbwe\Windows\System32\ko-KR\iscsicpl.dll.mui,12/19/23 15:12:18,12/19/23 15:12:27,12/19/23 15:12:27,12/31/23 0:36:36,Update Resident Value,0x1FA50,2,0,0,0,
10586861470,12/31/23 0:36:36,,,MdSched.exe,\Windows\System32\MdSched.exe,12/7/19 17:09:54,12/7/19 17:09:54,12/25/23 16:25:41,12/31/23 0:36:36,Update Resident Value,0x2F6F,2,0,0,0,
10586861529,12/31/23 0:36:36,,,MdSched.exe.mui,\Program Files\WindowsApps\Microsoft.LanguageExperiencePackko-KR_19041.69.239.0_neutral__8wekyb3d8bbwe\Windows\System32\ko-KR\MdSched.exe.mui,12/19/23 15:12:18,12/19/23 15:12:28,12/19/23 15:12:28,12/31/23 0:36:36,Update Resident Value,0x1FA66,4,0,0,0,
10586861657,12/31/23 0:36:36,,,odbcint.dll,\Windows\SysWOW64\odbcint.dll,12/7/19 17:10:02,12/7/19 17:10:02,12/25/23 16:25:41,12/31/23 0:36:36,Update Resident Value,0x3D91,0,0,0,0,
10586861752,12/31/23 0:36:36,,,odbcint.dll,\Windows\System32\odbcint.dll,12/7/19 17:09:41,12/7/19 17:09:41,12/25/23 16:25:41,12/31/23 0:36:36,Update Resident Value,0x2FF5,2,0,0,0,
10586861811,12/31/23 0:36:36,,,odbcint.dll.mui,\Program Files\WindowsApps\Microsoft.LanguageExperiencePackko-KR_19041.69.239.0_neutral__8wekyb3d8bbwe\Windows\System32\ko-KR\odbcint.dll.mui,12/19/23 15:12:18,12/19/23 15:12:29,12/19/23 15:12:29,12/31/23 0:36:36,Update Resident Value,0x1FB1D,0,0,0,0,
10586862074,12/31/23 0:36:36,,,pmcsnap.dll,\Windows\WinSxS\amd64_microsoft-windows-p..erandprintui-pmcppc_31bf3856ad364e35_10.0.19041.3636_none_7fffd8b0360619be\pmcsnap.dll,12/25/23 16:24:28,12/25/23 16:24:28,12/25/23 16:33:12,12/31/23 0:36:36,Update Resident Value,0x2A574,6,0,0,0,
10586862141,12/31/23 0:36:36,,,pmcsnap.dll.mui,\Program Files\WindowsApps\Microsoft.LanguageExperiencePackko-KR_19041.69.239.0_neutral__8wekyb3d8bbwe\Windows\System32\ko-KR\pmcsnap.dll.mui,12/19/23 15:12:18,12/19/23 15:12:30,12/19/23 15:12:30,12/31/23 0:36:36,Update Resident Value,0x1FB2D,4,0,0,0,
10586862225,12/31/23 0:36:36,,,RecoveryDrive.exe,\Windows\System32\RecoveryDrive.exe,12/25/23 16:22:44,12/25/23 16:22:44,12/25/23 16:33:51,12/31/23 0:36:36,Update Resident Value,0x2A04C,2,0,0,0,
10586862284,12/31/23 0:36:36,,,RecoveryDrive.exe.mui,\Program Files\WindowsApps\Microsoft.LanguageExperiencePackko-KR_19041.69.239.0_neutral__8wekyb3d8bbwe\Windows\System32\ko-KR\RecoveryDrive.exe.mui,12/19/23 15:12:18,12/19/23 15:12:31,12/19/23 15:12:31,12/31/23 0:36:36,Update Resident Value,0x1FB4A,6,0,0,0,
10586862368,12/31/23 0:36:36,,,regedit.exe,\Windows\regedit.exe,12/25/23 16:23:05,12/25/23 16:23:05,12/25/23 16:33:31,12/31/23 0:36:36,Update Resident Value,0x2A14D,0,0,0,0,
10586862427,12/31/23 0:36:36,,,regedit.exe.mui,\Program Files\WindowsApps\Microsoft.LanguageExperiencePackko-KR_19041.69.239.0_neutral__8wekyb3d8bbwe\Windows\ko-KR\regedit.exe.mui,12/19/23 15:12:17,12/19/23 15:12:22,12/19/23 15:12:22,12/31/23 0:36:36,Update Resident Value,0x15380,6,0,0,0,
10586862547,12/31/23 0:36:36,,,wsecedit.dll,\Windows\System32\wsecedit.dll,12/25/23 16:22:42,12/25/23 16:22:42,12/25/23 16:33:29,12/31/23 0:36:36,Update Resident Value,0x2A037,6,0,0,0,
10586862614,12/31/23 0:36:36,,,wsecedit.dll.mui,\Program Files\WindowsApps\Microsoft.LanguageExperiencePackko-KR_19041.69.239.0_neutral__8wekyb3d8bbwe\Windows\System32\ko-KR\wsecedit.dll.mui,12/19/23 15:12:18,12/19/23 15:12:35,12/19/23 15:12:35,12/31/23 0:36:36,Update Resident Value,0x1FE99,2,0,0,0,
10586862793,12/31/23 0:36:36,,,filemgmt.dll.mui,\Program Files\WindowsApps\Microsoft.LanguageExperiencePackko-KR_19041.69.239.0_neutral__8wekyb3d8bbwe\Windows\System32\ko-KR\filemgmt.dll.mui,12/19/23 15:12:17,12/19/23 15:12:26,12/19/23 15:12:26,12/31/23 0:36:36,Update Resident Value,0x1FA2A,2,0,0,0,
10586862877,12/31/23 0:36:36,,,msconfig.exe,\Windows\WinSxS\amd64_microsoft-windows-msconfig-exe_31bf3856ad364e35_10.0.19041.3636_none_4f11d547531484c7\msconfig.exe,12/25/23 16:23:00,12/25/23 16:23:00,12/25/23 16:34:00,12/31/23 0:36:36,Update Resident Value,0x2A10A,0,0,0,0,
10586862936,12/31/23 0:36:36,,,msconfig.exe.mui,\Program Files\WindowsApps\Microsoft.LanguageExperiencePackko-KR_19041.69.239.0_neutral__8wekyb3d8bbwe\Windows\System32\ko-KR\msconfig.exe.mui,12/19/23 15:12:18,12/19/23 15:12:28,12/19/23 15:12:28,12/31/23 0:36:36,Update Resident Value,0x1FAF1,6,0,0,0,
10586863020,12/31/23 0:36:36,,,msinfo32.exe,\Windows\System32\msinfo32.exe,12/25/23 16:23:12,12/25/23 16:23:12,12/25/23 16:33:54,12/31/23 0:36:36,Update Resident Value,0x2A1B7,2,0,0,0,
10586863079,12/31/23 0:36:36,,,msinfo32.exe.mui,\Program Files\WindowsApps\Microsoft.LanguageExperiencePackko-KR_19041.69.239.0_neutral__8wekyb3d8bbwe\Windows\System32\ko-KR\msinfo32.exe.mui,12/19/23 15:12:18,12/19/23 15:12:29,12/19/23 15:12:29,12/31/23 0:36:36,Update Resident Value,0x1FAFD,2,0,0,0,
10586863209,12/31/23 0:36:36,,,AuthFWGP.dll,\Windows\System32\AuthFWGP.dll,12/25/23 16:20:56,12/25/23 16:20:56,12/25/23 16:34:26,12/31/23 0:36:36,Update Resident Value,0x29978,0,0,0,0,
10586863268,12/31/23 0:36:36,,,authfwgp.dll.mui,\Program Files\WindowsApps\Microsoft.LanguageExperiencePackko-KR_19041.69.239.0_neutral__8wekyb3d8bbwe\Windows\System32\ko-KR\authfwgp.dll.mui,12/19/23 15:12:17,12/19/23 15:12:23,12/19/23 15:12:23,12/31/23 0:36:36,Update Resident Value,0x154CA,0,0,0,0,
10586864203,12/31/23 0:36:36,Updating Modified Time,ModifiedTime : 2023-12-28 21:39:31 -> 2023-12-31 00:36:36,selfdef.log <Guessed>,\ProgramData\Avast Software\Avast\log\selfdef.log,,,,,Update Resident Value,0x1543F,4,0,0,0,
10586864839,12/31/23 0:36:36,File Deletion,,prefs.js,\Users\blueangel\AppData\Roaming\Mozilla\Firefox\Background Tasks Profiles\76va6vw2.MozillaBackgroundTask-308046B0AF4A39CB-backgroundupdate\prefs.js,12/31/23 0:36:34,12/31/23 0:36:34,12/31/23 0:36:34,12/31/23 0:36:34,Deallocate File Record Segment,0x3308,6,0,0,0,
10586864984,12/31/23 0:36:36,Renaming File,prefs-1.js -> prefs.js,prefs.js,\Users\blueangel\AppData\Roaming\Mozilla\Firefox\Background Tasks Profiles\76va6vw2.MozillaBackgroundTask-308046B0AF4A39CB-backgroundupdate\prefs.js,,,,,Create Attribute,0x3310,4,0,0,0,
10586865219,12/31/23 0:36:36,,,76va6vw2.MozillaBackgroundTask-308046B0AF4A39CB-backgroundupdate,\Users\blueangel\AppData\Roaming\Mozilla\Firefox\Background Tasks Profiles\76va6vw2.MozillaBackgroundTask-308046B0AF4A39CB-backgroundupdate,12/18/22 22:48:38,12/31/23 0:36:36,12/31/23 0:36:36,12/31/23 0:36:36,Update Resident Value,0x6758,2,0,0,0,
10586865514,12/31/23 0:36:36,File Creation(File System Tunneling),,data.safe.tmp,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.tmp,12/31/23 0:36:34,12/31/23 0:36:36,12/31/23 0:36:36,12/31/23 0:36:36,Initialize File Record Segment,0x3308,6,0,0,0,
10586865802,12/31/23 0:36:36,Writing Content of Non-Resident File,Data Runs(in Volume) : 385097(2),data.safe.tmp,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.tmp,,,,,Update Mapping Pairs,0x3308,6,0,0,0,
10586866088,12/31/23 0:36:36,Updating Modified Time,ModifiedTime : 2023-12-31 00:36:35 -> 2023-12-31 00:36:36,db <Guessed>,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db,,,,,Update Resident Value,0x8267,6,0,0,0,
10586866221,12/31/23 0:36:36,File Deletion,,data.safe.bin,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.bin,12/31/23 0:36:34,12/31/23 0:36:35,12/31/23 0:36:35,12/31/23 0:36:35,Deallocate File Record Segment,0x3316,4,0,0,0,
10586866420,12/31/23 0:36:36,Renaming File,data.safe.tmp -> data.safe.bin,data.safe.bin,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.bin,,,,,Create Attribute,0x3308,6,0,0,0,
10586867088,12/31/23 0:36:36,File Creation(File System Tunneling),,data.safe.tmp,\ProgramData\Mozilla-1de4eec8-1241-4177-a864-e594e8d1fb38\updates\308046B0AF4A39CB\backgroundupdate\datareporting\glean\db\data.safe.tmp,12/31/23 0:36:34,12/31/23 0:36:36,12/31/23 0:36:36,12/31/23 0:36:36,Initialize File Record Segment,0x3316,4,0,0,0,
