lsn,eventtime,event,filedirectoryname,fullpath,creationtime,modifiedtime,mftmodifiedtime,accessedtime,redo,targetvcn,clusterindex,missingfullpathflaglsn
10050003405,12/16/22 17:32:09,File Deletion,LOG.old~RFe1a5.TMP,\Users\blueangel\AppData\Roaming\Evernote\Local Storage\leveldb\LOG.old~RFe1a5.TMP,12/16/22 17:32:09,12/25/23 16:38:39,12/26/23 0:04:27,12/25/23 16:38:39,Deallocate File Record Segment,0x7C9,6,0
10050003721,12/16/22 17:32:09,File Creation,LOG,\Users\blueangel\AppData\Roaming\Evernote\Local Storage\leveldb\LOG,12/16/22 17:32:09,12/26/23 0:04:27,12/26/23 0:04:27,12/26/23 0:04:27,Initialize File Record Segment,0x425,2,0
10050020271,12/26/23 0:04:27,Directory Deletion,1830335a-1f68-4e68-85f2-a61a9d6d7a5f,\Users\blueangel\AppData\Roaming\Evernote\Partitions\name\blob_storage\1830335a-1f68-4e68-85f2-a61a9d6d7a5f,12/25/23 16:57:29,12/25/23 16:57:29,12/25/23 16:57:29,12/26/23 0:04:27,Deallocate File Record Segment,0xE2E,4,0
10050020549,12/26/23 0:04:27,Directory Creation,4bd91f06-c8ae-4d21-92fa-20ff29236764,\Users\blueangel\AppData\Roaming\Evernote\Partitions\name\blob_storage\4bd91f06-c8ae-4d21-92fa-20ff29236764,12/26/23 0:04:27,12/26/23 0:04:27,12/26/23 0:04:27,12/26/23 0:04:27,Initialize File Record Segment,0x712,0,0
10050021338,12/26/23 0:04:27,Directory Creation,dc7b9438-6061-437e-8dd4-693b660551d9,\Users\blueangel\AppData\Roaming\Evernote\blob_storage\dc7b9438-6061-437e-8dd4-693b660551d9,12/26/23 0:04:27,12/26/23 0:04:27,12/26/23 0:04:27,12/26/23 0:04:27,Initialize File Record Segment,0x712,2,0
10050021951,12/26/23 0:04:27,Directory Deletion,6cecfddf-0aa2-4071-9eed-7e64567e1214,\Users\blueangel\AppData\Roaming\Evernote\blob_storage\6cecfddf-0aa2-4071-9eed-7e64567e1214,12/25/23 16:57:29,12/25/23 16:57:29,12/25/23 16:57:29,12/26/23 0:04:27,Deallocate File Record Segment,0xE2D,0,0
10050022103,12/26/23 0:04:27,Updating Modified Time,blob_storage,\Users\blueangel\AppData\Roaming\Evernote\blob_storage,12/16/22 17:32:09,12/26/23 0:04:27,12/26/23 0:04:27,12/26/23 0:04:27,Update Resident Value,0x6E63,2,0
10050029481,12/26/23 0:04:27,File Deletion,metadata,\Users\blueangel\AppData\Roaming\Evernote\Crashpad\metadata,12/25/23 17:07:30,12/25/23 17:07:30,12/25/23 17:07:30,12/25/23 17:07:30,Deallocate File Record Segment,0xC81,6,0
10050030445,12/26/23 0:04:27,File Creation,lockfile,\Users\blueangel\AppData\Roaming\Evernote\lockfile,12/26/23 0:04:27,12/26/23 0:04:27,12/26/23 0:04:27,12/26/23 0:04:27,Initialize File Record Segment,0x714,4,0
10050034190,12/26/23 0:04:28,File Creation,0a3fefae-43e9-4ac1-a590-aebc78babbe7.tmp,\Users\blueangel\AppData\Local\Temp\0a3fefae-43e9-4ac1-a590-aebc78babbe7.tmp,12/26/23 0:04:28,12/26/23 0:04:28,12/26/23 0:04:28,12/26/23 0:04:28,Initialize File Record Segment,0x714,6,0
10050048920,12/26/23 0:04:30,File Creation,LocalSettingsDB.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\LocalSettingsDB.sql-journal,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,Initialize File Record Segment,0x715,0,0
10050050457,12/26/23 0:04:30,File Deletion,LocalSettingsDB.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\LocalSettingsDB.sql-journal,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,Deallocate File Record Segment,0x715,0,0
10050052174,12/26/23 0:04:30,File Creation,LocalSettingsDB.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\LocalSettingsDB.sql-journal,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,Initialize File Record Segment,0x715,0,0
10050053465,12/26/23 0:04:30,File Deletion,LocalSettingsDB.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\LocalSettingsDB.sql-journal,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,Deallocate File Record Segment,0x715,0,0
10050053655,12/26/23 0:04:30,File Creation,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,Initialize File Record Segment,0x715,0,0
10050054978,12/26/23 0:04:30,File Deletion,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,Deallocate File Record Segment,0x715,0,0
10050055159,12/26/23 0:04:30,File Creation,LocalSettingsDB.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\LocalSettingsDB.sql-journal,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,Initialize File Record Segment,0x715,0,0
10050056394,12/26/23 0:04:30,File Deletion,LocalSettingsDB.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\LocalSettingsDB.sql-journal,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,Deallocate File Record Segment,0x715,0,0
10050056576,12/26/23 0:04:30,File Creation,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,Initialize File Record Segment,0x715,0,0
10050057737,12/26/23 0:04:30,File Deletion,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,Deallocate File Record Segment,0x715,0,0
10050057918,12/26/23 0:04:30,File Creation,LocalSettingsDB.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\LocalSettingsDB.sql-journal,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,Initialize File Record Segment,0x715,0,0
10050059145,12/26/23 0:04:30,File Deletion,LocalSettingsDB.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\LocalSettingsDB.sql-journal,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,Deallocate File Record Segment,0x715,0,0
10050059384,12/26/23 0:04:30,File Creation,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,Initialize File Record Segment,0x715,0,0
10050060631,12/26/23 0:04:30,File Deletion,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,Deallocate File Record Segment,0x715,0,0
10050061058,12/26/23 0:04:30,Directory Creation,38cfa0d1-ad72-4ec3-8022-488bbefdf098,\Users\blueangel\AppData\Roaming\Evernote\Partitions\user%3A23847576\blob_storage\38cfa0d1-ad72-4ec3-8022-488bbefdf098,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,Initialize File Record Segment,0x715,0,0
10050061425,12/26/23 0:04:30,Directory Deletion,db1057ef-dc93-46cc-a216-e59db71a60ed,\Users\blueangel\AppData\Roaming\Evernote\Partitions\user%3A23847576\blob_storage\db1057ef-dc93-46cc-a216-e59db71a60ed,12/25/23 16:57:33,12/25/23 16:57:33,12/25/23 16:57:33,12/26/23 0:04:30,Deallocate File Record Segment,0xE2F,0,0
10050061528,12/26/23 0:04:30,Updating Modified Time,blob_storage,\Users\blueangel\AppData\Roaming\Evernote\Partitions\user%3A23847576\blob_storage,12/16/22 17:32:42,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,Update Resident Value,0x6E76,0,0
10050062201,12/26/23 0:04:30,File Creation,UDB-User23847576+RemoteGraph.sql-journal,\Users\blueangel\AppData\Roaming\Evernote\conduit-storage\https%3A%2F%2Fwww.evernote.com\UDB-User23847576+RemoteGraph.sql-journal,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,Initialize File Record Segment,0x720,4,0
10050062665,12/26/23 0:04:30,File Creation,LOG.old~RFed2e.TMP,\Users\blueangel\AppData\Roaming\Evernote\Partitions\user%3A23847576\Local Storage\leveldb\LOG.old~RFed2e.TMP,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,Initialize File Record Segment,0x720,6,0
10050063013,12/26/23 0:04:30,File Deletion,LOG.old~RFed2e.TMP,\Users\blueangel\AppData\Roaming\Evernote\Partitions\user%3A23847576\Local Storage\leveldb\LOG.old~RFed2e.TMP,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,12/26/23 0:04:30,Deallocate File Record Segment,0x720,6,0
