merge_key,lf_lsn,EventTime(UTC+8),lf_event,lf_detail,File/Directory Name,lf_full_path,lf_creation_time,lf_modified_time,lf_mft_modified_time,lf_accessed_time,Redo,Target VCN,Cluster Index,usn_event_time,usn_usn,usn_filename,usn_full_path,usn_event_info,SourceInfo,FileAttribute,Carving Flag,usn_file_reference_number,usn_parent_file_reference_number,suspicious_category,suspicious_detail,suspicious_source,lf_event_count,usn_event_count,has_logfile_evidence,has_usnjrnl_evidence,cross_artifact_validation_score,has_suspicious_label,filename,full_path,zero_in_nanoseconds_lf,zero_in_nanoseconds_suspicious,zero_in_nanoseconds_combined,is_flagged_suspicious,ground_truth_label
7ac4484e-6711-48f4-8c57-0559ee77c874.tmp,,,,,,,,,,,,,,12/26/22 12:19,730059952.0,7ac4484e-6711-48f4-8c57-0559ee77c874.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\7ac4484e-6711-48f4-8c57-0559ee77c874.tmp,Basic_Info_Changed,Normal,Archive,,0x00070000000083C9,0x000200000001B982,,,,0,3,False,True,0.5,False,7ac4484e-6711-48f4-8c57-0559ee77c874.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\7ac4484e-6711-48f4-8c57-0559ee77c874.tmp,False,False,False,False,0
7ada8042-645a-4d37-a0ff-405f492412a0.tmp,,,,,,,,,,,,,,12/29/22 23:09,763332240.0,7ada8042-645a-4d37-a0ff-405f492412a0.tmp,\Users\blueangel\AppData\Local\Google\Chrome\User Data\Default\7ada8042-645a-4d37-a0ff-405f492412a0.tmp,Basic_Info_Changed,Normal,Archive,,0x00150000000228A1,0x000200000001B0D3,,,,0,3,False,True,0.5,False,7ada8042-645a-4d37-a0ff-405f492412a0.tmp,\Users\blueangel\AppData\Local\Google\Chrome\User Data\Default\7ada8042-645a-4d37-a0ff-405f492412a0.tmp,False,False,False,False,0
7afbec34-598b-4ff7-81e8-edfd0a6b8ee5.tmp,,,,,,,,,,,,,,12/29/22 23:13,763566480.0,7afbec34-598b-4ff7-81e8-edfd0a6b8ee5.tmp,\Users\blueangel\AppData\Local\Google\Chrome\User Data\Default\7afbec34-598b-4ff7-81e8-edfd0a6b8ee5.tmp,Basic_Info_Changed,Normal,Archive,,0x001C0000000270EA,0x000200000001B0D3,,,,0,3,False,True,0.5,False,7afbec34-598b-4ff7-81e8-edfd0a6b8ee5.tmp,\Users\blueangel\AppData\Local\Google\Chrome\User Data\Default\7afbec34-598b-4ff7-81e8-edfd0a6b8ee5.tmp,False,False,False,False,0
7aqgjoxfq6dwnwp99nt6.temp,,,,,,,,,,,,,,12/29/22 22:15,759830712.0,7AQGJOXFQ6DWNWP99NT6.temp,\Users\blueangel\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\7AQGJOXFQ6DWNWP99NT6.temp,Basic_Info_Changed,Normal,Archive,,0x001300000001C880,0x000500000001A277,,,,0,3,False,True,0.5,False,7AQGJOXFQ6DWNWP99NT6.temp,\Users\blueangel\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\7AQGJOXFQ6DWNWP99NT6.temp,False,False,False,False,0
7b054470-4ef0-4283-b9d1-cac32d44f5c5.tmp,,,,,,,,,,,,,,12/29/22 23:10,763410400.0,7b054470-4ef0-4283-b9d1-cac32d44f5c5.tmp,\Users\blueangel\AppData\Local\Google\Chrome\User Data\Default\7b054470-4ef0-4283-b9d1-cac32d44f5c5.tmp,Basic_Info_Changed,Normal,Archive,,0x000E000000026B95,0x000200000001B0D3,,,,0,3,False,True,0.5,False,7b054470-4ef0-4283-b9d1-cac32d44f5c5.tmp,\Users\blueangel\AppData\Local\Google\Chrome\User Data\Default\7b054470-4ef0-4283-b9d1-cac32d44f5c5.tmp,False,False,False,False,0
7b194f96-f79e-4be7-8108-41800245efee.tmp,,,,,,,,,,,,,,12/27/22 12:44,751622800.0,7b194f96-f79e-4be7-8108-41800245efee.tmp,\Users\blueangel\AppData\Local\Microsoft\Edge\User Data\7b194f96-f79e-4be7-8108-41800245efee.tmp,Basic_Info_Changed,Normal,Archive,,0x00F80000000080E0,0x000100000001A4E7,,,,0,3,False,True,0.5,False,7b194f96-f79e-4be7-8108-41800245efee.tmp,\Users\blueangel\AppData\Local\Microsoft\Edge\User Data\7b194f96-f79e-4be7-8108-41800245efee.tmp,False,False,False,False,0
7b27389b-b95b-45b2-8265-5ec924fb7778.tmp,,,,,,,,,,,,,,12/26/22 18:47,742834320.0,7b27389b-b95b-45b2-8265-5ec924fb7778.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\7b27389b-b95b-45b2-8265-5ec924fb7778.tmp,Basic_Info_Changed,Normal,Archive,,0x002F000000008413,0x000200000001B982,,,,0,3,False,True,0.5,False,7b27389b-b95b-45b2-8265-5ec924fb7778.tmp,\Users\blueangel\AppData\Roaming\Evernote\Network\7b27389b-b95b-45b2-8265-5ec924fb7778.tmp,False,False,False,False,0
7b460c35-6be7-410b-ac22-9dd35d85d2f0.tmp,4396848461.0,12/29/22 23:36,Time Reversal Event,CreationTime : 2022-12-29 23:36:41 -> 2022-12-16 17:14:28(same as Preferences/ Secure Preferences),7b460c35-6be7-410b-ac22-9dd35d85d2f0.tmp,\Users\blueangel\AppData\Local\Microsoft\Edge\User Data\Default\7b460c35-6be7-410b-ac22-9dd35d85d2f0.tmp,,,,,Update Resident Value,0x7AEC,0.0,12/29/22 23:36,766051952.0,7b460c35-6be7-410b-ac22-9dd35d85d2f0.tmp,\Users\blueangel\AppData\Local\Microsoft\Edge\User Data\Default\7b460c35-6be7-410b-ac22-9dd35d85d2f0.tmp,Basic_Info_Changed,Normal,Archive,,0x000700000001EBB0,0x000100000001A537,,,,3,3,True,True,1.0,False,7b460c35-6be7-410b-ac22-9dd35d85d2f0.tmp,\Users\blueangel\AppData\Local\Microsoft\Edge\User Data\Default\7b460c35-6be7-410b-ac22-9dd35d85d2f0.tmp,False,False,False,False,0
7b4d9309-51d6-477c-83d1-4f25369f27d6.tmp,,,,,,,,,,,,,,12/29/22 23:10,763394640.0,7b4d9309-51d6-477c-83d1-4f25369f27d6.tmp,\Users\blueangel\AppData\Local\Google\Chrome\User Data\Default\Sync Data\7b4d9309-51d6-477c-83d1-4f25369f27d6.tmp,Basic_Info_Changed,Normal,Archive,,0x0007000000026B87,0x000200000001B0ED,,,,0,3,False,True,0.5,False,7b4d9309-51d6-477c-83d1-4f25369f27d6.tmp,\Users\blueangel\AppData\Local\Google\Chrome\User Data\Default\Sync Data\7b4d9309-51d6-477c-83d1-4f25369f27d6.tmp,False,False,False,False,0
7b4e6f32-9aed-48f2-8149-6ea64f3a03ac.tmp,4353141012.0,12/29/22 23:27,Time Reversal Event,CreationTime : 2022-12-29 23:27:22 -> 2022-12-16 18:03:52(same as Nigori.bin),7b4e6f32-9aed-48f2-8149-6ea64f3a03ac.tmp,\Users\blueangel\AppData\Local\Google\Chrome\User Data\Default\Sync Data\7b4e6f32-9aed-48f2-8149-6ea64f3a03ac.tmp,,,,,Update Resident Value,0xB40B,6.0,12/29/22 23:27,764490352.0,7b4e6f32-9aed-48f2-8149-6ea64f3a03ac.tmp,\Users\blueangel\AppData\Local\Google\Chrome\User Data\Default\Sync Data\7b4e6f32-9aed-48f2-8149-6ea64f3a03ac.tmp,Basic_Info_Changed,Normal,Archive,,0x000800000002D02F,0x000200000001B0ED,,,,3,3,True,True,1.0,False,7b4e6f32-9aed-48f2-8149-6ea64f3a03ac.tmp,\Users\blueangel\AppData\Local\Google\Chrome\User Data\Default\Sync Data\7b4e6f32-9aed-48f2-8149-6ea64f3a03ac.tmp,False,False,False,False,0
