mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
19.931351327896117,0.6465743045194149,0.46754961013793944,0.057068228269959914,10,log2,2,10,300,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",0.8,0.028985507246376812,0.3924050632911392,0.46153846153846156,0.7901234567901234,0.4946104977732202,0.2859849643735675,31,0.7950819672131147,0.744,0.6733870967741935,0.706766917293233,0.5880281690140845,0.7014528300589251,0.06965307693894546
8.462522745132446,0.4432030784073808,0.11607804298400878,0.019379062438193945,10,sqrt,2,5,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7692307692307693,0.06557377049180328,0.3924050632911392,0.46153846153846156,0.775,0.4927496129104346,0.264435049025945,32,0.7950819672131147,0.8815165876777251,0.7971360381861575,0.7094339622641509,0.6094890510948905,0.7585315212872077,0.09227762307354287
23.57119550704956,0.8571433169832678,0.44890666007995605,0.10544622075459098,10,sqrt,2,5,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",0.7692307692307693,0.03773584905660377,0.3924050632911392,0.4645161290322581,0.7901234567901234,0.49080225348017875,0.27667950965942023,33,0.7950819672131147,0.8815165876777251,0.7198275862068966,0.7094339622641509,0.7198275862068966,0.7651375379137567,0.0658021638816473
8.35944848060608,1.084299019053176,0.1343893051147461,0.03964374953517343,10,sqrt,2,10,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.7692307692307693,0.03333333333333333,0.3924050632911392,0.4645161290322581,0.7901234567901234,0.48992175033552476,0.27812318313328777,34,0.6953405017921147,0.8815165876777251,0.6733870967741935,0.706766917293233,0.7198275862068966,0.7353677379488326,0.07464953991844774
21.583938694000246,0.832470766307756,0.4258852958679199,0.10765108232777187,10,sqrt,2,20,300,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 300}",0.7368421052631579,0.06557377049180328,0.3924050632911392,0.4645161290322581,0.7901234567901234,0.48989210497369645,0.26127260847052797,35,0.7918367346938775,0.8815165876777251,0.6720321931589537,0.7094339622641509,0.7933491686460807,0.7696337292881575,0.07310710132255382
5.67407341003418,0.2493125135871349,0.08633065223693848,0.016815320640503104,15,sqrt,5,20,100,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 100}",0.7368421052631579,0.028985507246376812,0.389937106918239,0.4713375796178344,0.8192771084337349,0.4892758814958686,0.2800882176623938,36,0.7918367346938775,0.8773584905660378,0.7914691943127962,0.7094339622641509,0.7914691943127962,0.7923135152299318,0.053109926012052285
14.156316661834717,0.5704537614427189,0.3032489776611328,0.06814907263479453,20,sqrt,5,20,300,"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 300}",0.7368421052631579,0.06557377049180328,0.389937106918239,0.46153846153846156,0.7901234567901234,0.48880298020035706,0.2615179596136492,37,0.7918367346938775,0.8752941176470588,0.7933491686460807,0.706766917293233,0.7952380952380952,0.792497006703669,0.0533173246072042
15.392729473114013,0.5111260261978969,0.3071441650390625,0.06560884556966087,15,sqrt,5,20,300,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 300}",0.7368421052631579,0.06557377049180328,0.389937106918239,0.46153846153846156,0.7901234567901234,0.48880298020035706,0.2615179596136492,37,0.7918367346938775,0.8752941176470588,0.789598108747045,0.706766917293233,0.7933491686460807,0.791369009405459,0.05330706082656485
13.800398826599121,0.6091330070419073,0.23808021545410157,0.08744948724402084,,sqrt,5,20,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 300}",0.7368421052631579,0.06557377049180328,0.389937106918239,0.46153846153846156,0.7901234567901234,0.48880298020035706,0.2615179596136492,37,0.7918367346938775,0.8752941176470588,0.7933491686460807,0.7094339622641509,0.7952380952380952,0.7930304156978526,0.052463480654288554
10.831961154937744,0.44705075873907,0.15130057334899902,0.038375325789599214,15,sqrt,5,20,200,"{'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 20, 'n_estimators': 200}",0.7368421052631579,0.05063291139240506,0.389937106918239,0.46153846153846156,0.8048780487804879,0.4887657267785503,0.2697916506038069,40,0.7918367346938775,0.8752941176470588,0.7933491686460807,0.706766917293233,0.7933491686460807,0.7921192213852661,0.05330325416189604
