lf_lsn,eventtime,lf_event,lf_detail,filename,filepath,lf_creation_time,lf_modified_time,lf_mft_modified_time,lf_accessed_time,lf_redo,lf_target_vcn,lf_cluster_index,case_id,eventtime_dt,merge_key,usn_usn,usn_event_info,usn_source_info,usn_file_attribute,usn_carving_flag,usn_file_reference_number,usn_parent_file_reference_number,source,time_diff_seconds,is_tunneling,is_timestomped,suspected_tool
10050637832.0,12/26/23 0:05:12,Time Reversal Event,ModifiedTime : 2023-12-26 00:05:12 -> 2010-10-11 14:08:00(Zero in 100-nanoseconds),HFS+ Volume Header.tpl,\Users\blueangel\AppData\Local\Temp\RarSFX1\HFS+ Volume Header.tpl,,,,,Update Resident Value,0x2FF6,6.0,3,2023-12-26 00:05:12,\Users\blueangel\AppData\Local\Temp\RarSFX1\HFS+ Volume Header.tpl|HFS+ Volume Header.tpl,1715814504.0,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten,Normal,Archive,,0x000A00000000BFDB,0x000F0000000071DC,both,0.0,False,0,Unknown
10050638701.0,12/26/23 0:05:12,Time Reversal Event,ModifiedTime : 2023-12-26 00:05:12 -> 2010-10-11 14:08:00(Zero in 100-nanoseconds),language.dat,\Users\blueangel\AppData\Local\Temp\RarSFX1\language.dat,,,,,Update Resident Value,0x2FF7,0.0,3,2023-12-26 00:05:12,\Users\blueangel\AppData\Local\Temp\RarSFX1\language.dat|language.dat,1715814976.0,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten,Normal,Archive,,0x000200000000BFDC,0x000F0000000071DC,both,0.0,False,0,Unknown
10050639635.0,12/26/23 0:05:12,Time Reversal Event,ModifiedTime : 2023-12-26 00:05:12 -> 2010-10-11 14:08:00(Zero in 100-nanoseconds),Master Boot Record.tpl,\Users\blueangel\AppData\Local\Temp\RarSFX1\Master Boot Record.tpl,,,,,Update Resident Value,0x2FF7,6.0,3,2023-12-26 00:05:12,\Users\blueangel\AppData\Local\Temp\RarSFX1\Master Boot Record.tpl|Master Boot Record.tpl,1715815464.0,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten,Normal,Archive,,0x000300000000BFDF,0x000F0000000071DC,both,0.0,False,0,Unknown
10050640599.0,12/26/23 0:05:12,Time Reversal Event,ModifiedTime : 2023-12-26 00:05:12 -> 2010-10-11 14:08:00(Zero in 100-nanoseconds),NTFS FILE Record.tpl,\Users\blueangel\AppData\Local\Temp\RarSFX1\NTFS FILE Record.tpl,,,,,Update Resident Value,0x2FF8,4.0,3,2023-12-26 00:05:12,\Users\blueangel\AppData\Local\Temp\RarSFX1\NTFS FILE Record.tpl|NTFS FILE Record.tpl,1715815984.0,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten,Normal,Archive,,0x000400000000BFE2,0x000F0000000071DC,both,0.0,False,0,Unknown
10050641460.0,12/26/23 0:05:12,Time Reversal Event,ModifiedTime : 2023-12-26 00:05:12 -> 2010-10-11 14:08:00(Zero in 100-nanoseconds),polish2.dat,\Users\blueangel\AppData\Local\Temp\RarSFX1\polish2.dat,,,,,Update Resident Value,0x2FF8,6.0,3,2023-12-26 00:05:12,\Users\blueangel\AppData\Local\Temp\RarSFX1\polish2.dat|polish2.dat,1715816456.0,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten,Normal,Archive,,0x000200000000BFE3,0x000F0000000071DC,both,0.0,False,0,Unknown
10050642395.0,12/26/23 0:05:12,Time Reversal Event,ModifiedTime : 2023-12-26 00:05:12 -> 2010-10-11 14:08:00(Zero in 100-nanoseconds),Sample script.whs,\Users\blueangel\AppData\Local\Temp\RarSFX1\Sample script.whs,,,,,Update Resident Value,0x2FF9,0.0,3,2023-12-26 00:05:12,\Users\blueangel\AppData\Local\Temp\RarSFX1\Sample script.whs|Sample script.whs,1715816920.0,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten,Normal,Archive,,0x000200000000BFE4,0x000F0000000071DC,both,0.0,False,0,Unknown
10050643265.0,12/26/23 0:05:12,Time Reversal Event,ModifiedTime : 2023-12-26 00:05:12 -> 2010-10-11 14:08:00(Zero in 100-nanoseconds),setup.exe,\Users\blueangel\AppData\Local\Temp\RarSFX1\setup.exe,,,,,Update Resident Value,0x2FFB,2.0,3,2023-12-26 00:05:12,\Users\blueangel\AppData\Local\Temp\RarSFX1\setup.exe|setup.exe,1715817352.0,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten,Normal,Archive,,0x000200000000BFED,0x000F0000000071DC,both,0.0,False,0,Unknown
10050644751.0,12/26/23 0:05:12,Time Reversal Event,ModifiedTime : 2023-12-26 00:05:12 -> 2010-10-11 14:08:00(Zero in 100-nanoseconds),Text file conversion UNIX - Windows.whs,\Users\blueangel\AppData\Local\Temp\RarSFX1\Text file conversion UNIX - Windows.whs,,,,,Update Resident Value,0x2FFB,4.0,3,2023-12-26 00:05:12,\Users\blueangel\AppData\Local\Temp\RarSFX1\Text file conversion UNIX - Windows.whs|Text file conversion UNIX - Windows.whs,1715817944.0,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten,Normal,Archive,,0x000200000000BFEE,0x000F0000000071DC,both,0.0,False,0,Unknown
10050648860.0,12/26/23 0:05:12,Time Reversal Event,ModifiedTime : 2023-12-26 00:05:12 -> 2010-10-11 14:08:00(Zero in 100-nanoseconds),timezone.dat,\Users\blueangel\AppData\Local\Temp\RarSFX1\timezone.dat,,,,,Update Resident Value,0x2FFC,6.0,3,2023-12-26 00:05:12,\Users\blueangel\AppData\Local\Temp\RarSFX1\timezone.dat|timezone.dat,1715820488.0,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten,Normal,Archive,,0x000200000000BFF3,0x000F0000000071DC,both,0.0,False,0,Unknown
10050650237.0,12/26/23 0:05:12,Time Reversal Event,ModifiedTime : 2023-12-26 00:05:12 -> 2010-10-11 14:08:00(Zero in 100-nanoseconds),winhex.cnt,\Users\blueangel\AppData\Local\Temp\RarSFX1\winhex.cnt,,,,,Update Resident Value,0x2FFC,0.0,3,2023-12-26 00:05:12,\Users\blueangel\AppData\Local\Temp\RarSFX1\winhex.cnt|winhex.cnt,1715821192.0,File_Created / Basic_Info_Changed / Data_Added / Data_Overwritten,Normal,Archive,,0x000600000000BFF0,0x000F0000000071DC,both,0.0,False,0,Unknown
